Grid ID,Latitude,Longitude
173,20.125,-86.875
174,20.125,-86.625
175,20.125,-86.375
176,20.125,-86.125
177,20.125,-85.875
178,20.125,-85.625
179,20.125,-85.375
180,20.125,-85.125
181,20.125,-84.875
182,20.125,-84.625
183,20.125,-84.375
184,20.125,-84.125
185,20.125,-83.875
186,20.125,-83.625
187,20.125,-83.375
188,20.125,-83.125
189,20.125,-82.875
190,20.125,-82.625
191,20.125,-82.375
192,20.125,-82.125
193,20.125,-81.875
194,20.125,-81.625
195,20.125,-81.375
196,20.125,-81.125
197,20.125,-80.875
198,20.125,-80.625
199,20.125,-80.375
200,20.125,-80.125
201,20.125,-79.875
202,20.125,-79.625
203,20.125,-79.375
204,20.125,-79.125
205,20.125,-78.875
206,20.125,-78.625
207,20.125,-78.375
208,20.125,-78.125
209,20.125,-77.875
210,20.125,-77.625
211,20.125,-77.375
212,20.125,-77.125
213,20.125,-76.875
214,20.125,-76.625
215,20.125,-76.375
216,20.125,-76.125
217,20.125,-75.875
218,20.125,-75.625
219,20.125,-75.375
220,20.125,-75.125
221,20.125,-74.875
222,20.125,-74.625
223,20.125,-74.375
224,20.125,-74.125
225,20.125,-73.875
226,20.125,-73.625
227,20.125,-73.375
228,20.125,-73.125
229,20.125,-72.875
230,20.125,-72.625
231,20.125,-72.375
232,20.125,-72.125
233,20.125,-71.875
234,20.125,-71.625
235,20.125,-71.375
236,20.125,-71.125
237,20.125,-70.875
238,20.125,-70.625
239,20.125,-70.375
240,20.125,-70.125
241,20.125,-69.875
242,20.125,-69.625
243,20.125,-69.375
244,20.125,-69.125
245,20.125,-68.875
246,20.125,-68.625
247,20.125,-68.375
248,20.125,-68.125
249,20.125,-67.875
250,20.125,-67.625
251,20.125,-67.375
252,20.125,-67.125
253,20.125,-66.875
254,20.125,-66.625
255,20.125,-66.375
256,20.125,-66.125
257,20.125,-65.875
258,20.125,-65.625
259,20.125,-65.375
260,20.125,-65.125
261,20.125,-64.875
262,20.125,-64.625
263,20.125,-64.375
264,20.125,-64.125
265,20.125,-63.875
266,20.125,-63.625
